date_key,full_date,year,month_number,month_name,year_month,week_number,day_of_month,day_of_week
20160605,2016-06-05,2016,6,June,2016-06,22,5,Sunday
20160606,2016-06-06,2016,6,June,2016-06,23,6,Monday
20160607,2016-06-07,2016,6,June,2016-06,23,7,Tuesday
20160608,2016-06-08,2016,6,June,2016-06,23,8,Wednesday
20160609,2016-06-09,2016,6,June,2016-06,23,9,Thursday
20160610,2016-06-10,2016,6,June,2016-06,23,10,Friday
20160611,2016-06-11,2016,6,June,2016-06,23,11,Saturday
20160612,2016-06-12,2016,6,June,2016-06,23,12,Sunday
20160613,2016-06-13,2016,6,June,2016-06,24,13,Monday
20160614,2016-06-14,2016,6,June,2016-06,24,14,Tuesday
20160615,2016-06-15,2016,6,June,2016-06,24,15,Wednesday
20160616,2016-06-16,2016,6,June,2016-06,24,16,Thursday
20160617,2016-06-17,2016,6,June,2016-06,24,17,Friday
20160618,2016-06-18,2016,6,June,2016-06,24,18,Saturday
20160619,2016-06-19,2016,6,June,2016-06,24,19,Sunday
20160620,2016-06-20,2016,6,June,2016-06,25,20,Monday
20160621,2016-06-21,2016,6,June,2016-06,25,21,Tuesday
20160622,2016-06-22,2016,6,June,2016-06,25,22,Wednesday
20160623,2016-06-23,2016,6,June,2016-06,25,23,Thursday
20160624,2016-06-24,2016,6,June,2016-06,25,24,Friday
20160625,2016-06-25,2016,6,June,2016-06,25,25,Saturday
20160626,2016-06-26,2016,6,June,2016-06,25,26,Sunday
20160627,2016-06-27,2016,6,June,2016-06,26,27,Monday
20160628,2016-06-28,2016,6,June,2016-06,26,28,Tuesday
20160629,2016-06-29,2016,6,June,2016-06,26,29,Wednesday
20160630,2016-06-30,2016,6,June,2016-06,26,30,Thursday
20160701,2016-07-01,2016,7,July,2016-07,26,1,Friday
20160702,2016-07-02,2016,7,July,2016-07,26,2,Saturday
20160703,2016-07-03,2016,7,July,2016-07,26,3,Sunday
20160704,2016-07-04,2016,7,July,2016-07,27,4,Monday
20160705,2016-07-05,2016,7,July,2016-07,27,5,Tuesday
20160706,2016-07-06,2016,7,July,2016-07,27,6,Wednesday
20160707,2016-07-07,2016,7,July,2016-07,27,7,Thursday
20160708,2016-07-08,2016,7,July,2016-07,27,8,Friday
20160709,2016-07-09,2016,7,July,2016-07,27,9,Saturday
20160710,2016-07-10,2016,7,July,2016-07,27,10,Sunday
20160711,2016-07-11,2016,7,July,2016-07,28,11,Monday
20160712,2016-07-12,2016,7,July,2016-07,28,12,Tuesday
20160713,2016-07-13,2016,7,July,2016-07,28,13,Wednesday
20160714,2016-07-14,2016,7,July,2016-07,28,14,Thursday
20160715,2016-07-15,2016,7,July,2016-07,28,15,Friday
20160716,2016-07-16,2016,7,July,2016-07,28,16,Saturday
20160717,2016-07-17,2016,7,July,2016-07,28,17,Sunday
20160718,2016-07-18,2016,7,July,2016-07,29,18,Monday
20160719,2016-07-19,2016,7,July,2016-07,29,19,Tuesday
20160720,2016-07-20,2016,7,July,2016-07,29,20,Wednesday
20160721,2016-07-21,2016,7,July,2016-07,29,21,Thursday
20160722,2016-07-22,2016,7,July,2016-07,29,22,Friday
20160723,2016-07-23,2016,7,July,2016-07,29,23,Saturday
20160724,2016-07-24,2016,7,July,2016-07,29,24,Sunday
20160725,2016-07-25,2016,7,July,2016-07,30,25,Monday
20160726,2016-07-26,2016,7,July,2016-07,30,26,Tuesday
20160727,2016-07-27,2016,7,July,2016-07,30,27,Wednesday
20160728,2016-07-28,2016,7,July,2016-07,30,28,Thursday
20160729,2016-07-29,2016,7,July,2016-07,30,29,Friday
20160730,2016-07-30,2016,7,July,2016-07,30,30,Saturday
20160731,2016-07-31,2016,7,July,2016-07,30,31,Sunday
20160801,2016-08-01,2016,8,August,2016-08,31,1,Monday
20160802,2016-08-02,2016,8,August,2016-08,31,2,Tuesday
20160803,2016-08-03,2016,8,August,2016-08,31,3,Wednesday
20160804,2016-08-04,2016,8,August,2016-08,31,4,Thursday
20160805,2016-08-05,2016,8,August,2016-08,31,5,Friday
20160806,2016-08-06,2016,8,August,2016-08,31,6,Saturday
